locomotive,id,data,gps,timestamp
6025,1934751.0,"{""egu"": {""data"": [334.9375, 12.8046875, 349.546875, 3.515625, 343.046875, 14.2421875, 222.25, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:42:52.311245+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:42:52.311245+00:00""}, ""exc"": {""data"": [5.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:42:52.311245+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:42:52"", ""gps_status"": ""A"", ""gps_lat"": -19.494395216666668, ""gps_lon"": -46.4869814, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 17.7, ""gps_true_course"": 98.3}",2025-02-16T23:42:53
6025,1934752.0,"{""egu"": {""data"": [333.6875, 13.046875, 349.546875, 3.4609375, 342.921875, 14.21875, 221.5, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:42:53.315170+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:42:53.315170+00:00""}, ""exc"": {""data"": [5.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:42:53.315170+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:42:53"", ""gps_status"": ""A"", ""gps_lat"": -19.49440535, ""gps_lon"": -46.4868969, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 17.6, ""gps_true_course"": 95.8}",2025-02-16T23:42:54
6025,1934753.0,"{""egu"": {""data"": [334.5, 12.984375, 349.546875, 3.4921875, 344.0625, 14.2421875, 227.875, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:42:54.319209+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:42:54.319209+00:00""}, ""exc"": {""data"": [5.0, 3.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:42:54.319209+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:42:54"", ""gps_status"": ""A"", ""gps_lat"": -19.494413466666668, ""gps_lon"": -46.486815166666666, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 17.3, ""gps_true_course"": 95.0}",2025-02-16T23:42:55
6025,1934754.0,"{""egu"": {""data"": [334.0625, 12.71875, 349.546875, 3.546875, 343.984375, 14.2421875, 226.125, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:42:55.322592+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:42:55.322592+00:00""}, ""exc"": {""data"": [5.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:42:55.322592+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:42:55"", ""gps_status"": ""A"", ""gps_lat"": -19.49441765, ""gps_lon"": -46.48673086666667, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 17.2, ""gps_true_course"": 93.5}",2025-02-16T23:42:56
6025,1934755.0,"{""egu"": {""data"": [334.5, 12.9296875, 349.546875, 3.5, 343.734375, 14.2421875, 227.25, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:42:56.326525+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:42:56.326525+00:00""}, ""exc"": {""data"": [5.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:42:56.326525+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:42:56"", ""gps_status"": ""A"", ""gps_lat"": -19.494418866666667, ""gps_lon"": -46.4866391, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 17.7, ""gps_true_course"": 92.0}",2025-02-16T23:42:57
6025,1934756.0,"{""egu"": {""data"": [335.0625, 12.953125, 349.546875, 3.546875, 342.6875, 14.2421875, 223.75, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:42:57.330757+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:42:57.330757+00:00""}, ""exc"": {""data"": [5.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:42:57.330757+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:42:57"", ""gps_status"": ""A"", ""gps_lat"": -19.49441705, ""gps_lon"": -46.48655493333333, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 17.3, ""gps_true_course"": 90.6}",2025-02-16T23:42:58
6025,1934757.0,"{""egu"": {""data"": [334.875, 12.8046875, 349.546875, 3.546875, 343.25, 14.2421875, 224.25, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:42:58.334655+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:42:58.334655+00:00""}, ""exc"": {""data"": [5.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:42:58.334655+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:42:58"", ""gps_status"": ""A"", ""gps_lat"": -19.494421616666667, ""gps_lon"": -46.48647128333333, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 17.1, ""gps_true_course"": 91.6}",2025-02-16T23:42:59
6025,1934758.0,"{""egu"": {""data"": [335.1875, 12.9296875, 349.546875, 3.640625, 342.6875, 14.2734375, 226.375, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:42:59.339058+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:42:59.339058+00:00""}, ""exc"": {""data"": [5.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:42:59.339058+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:42:59"", ""gps_status"": ""A"", ""gps_lat"": -19.4944247, ""gps_lon"": -46.48638798333333, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 16.9, ""gps_true_course"": 90.8}",2025-02-16T23:43:00
6025,1934759.0,"{""egu"": {""data"": [334.375, 12.984375, 349.546875, 3.5859375, 342.984375, 14.2734375, 223.0, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:43:00.342957+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:43:00.342957+00:00""}, ""exc"": {""data"": [5.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:43:00.342957+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:43:00"", ""gps_status"": ""A"", ""gps_lat"": -19.494427566666666, ""gps_lon"": -46.48630728333333, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 16.9, ""gps_true_course"": 91.8}",2025-02-16T23:43:01
6025,1934760.0,"{""egu"": {""data"": [335.25, 13.078125, 349.546875, 3.578125, 342.796875, 14.2734375, 227.0, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:43:01.347055+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:43:01.347055+00:00""}, ""exc"": {""data"": [5.0, 3.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:43:01.347055+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:43:01"", ""gps_status"": ""A"", ""gps_lat"": -19.494429483333334, ""gps_lon"": -46.486224633333336, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 16.8, ""gps_true_course"": 90.2}",2025-02-16T23:43:02
